,word,count
1305,#ficaremcasa,174
1306,propagacao,174
1307,responsavel,174
1308,quantos,174
1309,pqp,174
1310,mandou,174
1311,tocar,174
1312,27,174
1313,#acaboubolsonaro,173
1314,lidar,173
1315,comentarios,172
1316,#domingodetremurasdv,172
1317,comeco,171
1318,planeta,171
1319,justica,171
1320,comecei,171
1321,milhao,171
1322,#cantecomigo,170
1323,teste,170
1324,coronavirus!,170
1325,totalmente,170
1326,conversar,170
1327,assunto,170
1328,consegui,170
1329,culpa,170
1330,controle,170
1331,pense,169
1332,escola,169
1333,produtos,169
1334,esqueca,169
1335,23,169
1336,chamar,168
1337,olhos,168
1338,#paz,168
1339,#solidariedade,168
1340,nos!,168
1341,recife,168
1342,chocolate,168
1343,segunda-feira,168
1344,embora,168
1345,pergunta,168
1346,vista,168
1347,higiene,168
1348,palavra,167
1349,pronto,167
1350,tera,167
1351,atitude,167
1352,possa,167
1353,cristo,167
1354,edicao,167
1355,maiores,167
1356,sigam,167
1357,50,166
1358,mais:,166
1359,jardim,166
1360,passado,166
1361,dizem,166
1362,carinho,166
1363,abencoe,166
1364,correr,165
1365,pico,165
1366,mesa,165
1367,bons,165
1368,sofa,165
1369,rolando,165
1370,arrumar,165
1371,velho,165
1372,conhecer,165
1373,alta,164
1374,carros,164
1375,norte,164
1376,zona,164
1377,#dicas,164
1378,olho,164
1379,#covd19,164
1380,organizacao,163
1381,contaminacao,163
1382,#recife,163
1383,modo,163
1384,horizonte,163
1385,esperar,163
1386,gravidade,163
1387,chuva,163
1388,deixou,162
1389,nacao,162
1390,onibus,162
1391,isto,162
1392,leve,162
1393,jair,162
1394,contar,162
1395,liberdade,162
1396,entra,162
1397,aumentar,162
1398,estudos,161
1399,reais,161
1400,of,161
1401,mais!,161
1402,auxilio,161
1403,qdo,161
1404,ceara,160
1405,#quarenteners,160
1406,#stayhomesavelives,160
1407,alerta,160
1408,#vida,160
1409,vacina,160
1410,puta,160
1411,avanco,159
1412,quarta,159
1413,abaixo,159
1414,conheca,159
1415,efeito,159
1416,especialistas,159
1417,alma,159
1418,escolha,159
1419,pedro,159
1420,marca,159
1421,sofrer,158
1422,companhia,158
1423,espanha,158
1424,bar,158
1425,entendeu,158
1426,grupos,158
1427,academia,158
1428,importantes,158
1429,#gay,158
1430,leva,158
1431,isso!,158
1432,#emcasacompericao,158
1433,on-line,157
1434,vivemos,157
1435,mar,157
1436,remedio,157
1437,ultimas,157
1438,homenagem,157
1439,virou,157
1440,sus,157
1441,lhe,157
1442,acreditar,157
1443,principais,157
1444,acontece,157
1445,fechar,157
1446,#art,157
1447,entrega,156
1448,trump,156
1449,qualidade,156
1450,hoje!,156
1451,fundamental,156
1452,regiao,156
1453,perdi,156
1454,local,156
1455,cair,156
1456,bebendo,156
1457,nisso,156
1458,firme,155
1459,motivo,155
