,word,count
893,ordem,15
894,playlist,15
895,#quarentena',15
896,semanas,15
897,ama,15
898,insta,15
899,cade,15
900,no..,15
901,ansiedade,15
902,acao,15
903,hospital,15
904,comprei,15
905,passou,15
906,prior,15
907,paises,15
908,rico,15
909,sabemos,15
910,kkk,15
911,lugares,15
912,minutos,15
913,#forabolsonaros,15
914,oq,15
915,babu,15
916,corre,15
917,futebol,15
918,#coronapocolypse,15
919,banheiro,15
920,estilo,15
921,incrivel,15
922,ultima,15
923,preocupado,15
924,rapido,15
925,papo,15
926,forte,15
927,lendo,14
928,#dia3,14
929,vizinho,14
930,salva,14
931,circle,14
932,compartilhar,14
933,ultimo,14
934,foda,14
935,motivo,14
936,vamo,14
937,caos,14
938,@globoplay,14
939,desafio,14
940,avo,14
941,jesus,14
942,fazem,14
943,luz,14
944,#vocenaoepresidentemais,14
945,histeria,14
946,bolo,14
947,criar,14
948,#ficaemcasa..,14
949,amiga,14
950,2019,14
951,relacao,14
952,parecendo,14
953,acesso,14
954,post,14
955,totalmente,14
956,entendo,14
957,jogos,14
958,17,14
959,mil,14
960,avanco,14
961,sejam,14
962,#thecirclebrasil,14
963,preocupacao,14
964,classe,14
965,deixando,14
966,cuidando,14
967,sozinho,14
968,sus,14
969,santa,14
970,duvida,14
971,disseminacao,14
972,tweet,14
973,compras,14
974,supermercado,14
975,disso,14
976,proprio,14
977,claro,14
978,ferramentas,14
979,c,14
980,cama,14
981,precisam,14
982,lembrando,14
983,grandes,14
984,confira,14
985,x,14
986,seguindo,14
987,pedindo,14
988,iria,13
989,telefone,13
990,mente,13
991,assista,13
992,b..,13
993,@minsaude,13
994,qu..,13
995,cura,13
996,espera,13
997,passe,13
998,todos!,13
999,querer,13
1000,preso,13
1001,news,13
1002,descobri,13
1003,evitem,13
1004,pr..,13
1005,distanciamento,13
1006,abrir,13
1007,diferenca,13
1008,farmacia,13
1009,chamada,13
1010,voltando,13
1011,panelaco,13
1012,querem,13
1013,china,13
1014,24,13
1015,protejam,13
1016,as..,13
1017,bastante,13
1018,cozinha,13
1019,possa,13
1020,metro,13
1021,como?,13
1022,madrugada,13
1023,humano,13
1024,ppv,13
1025,propria,13
1026,garantir,13
1027,atraves,13
1028,monte,13
1029,espanha,13
1030,#bomdia,13
1031,tira,13
1032,consegui,13
1033,sabia,13
1034,aglomeracoes,13
1035,piscina,13
1036,indicacao,13
1037,mandar,13
1038,????????????,13
1039,deixe,13
1040,va,13
1041,importa,13
1042,terra,13
1043,respeitando,13
1044,mascaras,13
1045,estudo,13
1046,alta,13
1047,kkkkkkkk,13
1048,entrou,13
1049,jovem,13
1050,riscos,13
1051,remotamente,13
1052,fake,13
1053,grave,13
1054,pergunta,13
1055,atitudes,13
1056,cantar,13
1057,mensagem,13
1058,dei,13
1059,#covid19pt,13
1060,boca,13
1061,tua,13
1062,vidas,13
1063,quantos,13
1064,digital,13
1065,correr,13
1066,#pandemia..,13
1067,estocar,13
1068,@boninho,13
1069,tome,12
1070,recomendacao,12
1071,mostrar,12
1072,horario,12
1073,plena,12
1074,atendimento,12
1075,preguica,12
1076,treino,12
1077,materia,12
1078,site,12
1079,clientes,12
1080,otima,12
1081,economia,12
1082,role,12
1083,problemas,12
1084,varanda,12
1085,#panelaco18m,12
1086,extremamente,12
1087,@bbb,12
1088,cheio,12
1089,?????????,12
1090,liga,12
1091,bate,12
1092,responsavel,12
1093,sexta,12
1094,cu,12
1095,acredito,12
1096,com..,12
1097,apoio,12
1098,igrejas,12
1099,plano,12
1100,oportunidade,12
1101,contaminacao,12
1102,sugestoes,12
1103,acoes,12
1104,jornal,12
1105,especial,12
1106,fundo,12
1107,fas,12
1108,pacientes,12
1109,futuro,12
1110,projetos,12
1111,shopping,12
1112,numeros,12
1113,use,12
1114,marcela,12
1115,mata,12
1116,gracas,12
1117,teremos,12
1118,transmissao,12
1119,mandou,12
1120,usem,12
1121,...,12
1122,viver,12
1123,mental,12
1124,#quartaligadajusticasdv,12
1125,hahaha,12
1126,v..,12
1127,tb,12
1128,filha,12
1129,entao,12
1130,treinar,12
1131,es..,12
1132,canto,12
1133,siga,12
1134,#coronafest,12
1135,cuidados,12
1136,maratona,12
1137,assisti,12
1138,precisar,12
1139,que,12
1140,etc,12
1141,aglomeracao,12
1142,mais..,12
1143,virtual,12
1144,inves,12
1145,lute,12
1146,secretaria,12
1147,reuniao,12
1148,3:,12
1149,#panelaco,12
1150,corpo,11
1151,boletos,11
1152,trazer,11
1153,rt,11
1154,texto,11
1155,trouxe,11
1156,!!,11
1157,nois,11
1158,play,11
1159,cidadao,11
1160,ferias!,11
1161,encontrar,11
1162,me..,11
1163,certa,11
1164,janela,11
1165,disponivel,11
1166,linda,11
1167,pe,11
1168,evento,11
1169,ideias,11
1170,marido,11
1171,ex,11
1172,apesar,11
1173,clima,11
1174,coronga,11
1175,re..,11
1176,pronto,11
1177,controle,11
1178,atras,11
1179,participar,11
1180,novelas,11
1181,adotar,11
1182,pense,11
1183,direto,11
1184,certeza,11
1185,caralho,11
1186,nivel,11
1187,festival,11
1188,transporte,11
1189,decreto,11
1190,preco,11
1191,comunicado,11
1192,coletivo,11
1193,covid,11
